ID_PROJECT,a
ID_BATCH,a
ID_WAFER,a
WAFER_ROTATION,a
TILE_WIDTH,10.5
TILE_HEIGHT,10.5
TEST_STRUCTURE,a
LINES_DATA,2808
tile_id,die_id,xc_ref[um],yc_ref[um],xc_chip[um],yc_chip[um],width[um],height[um],Array detail
CC,36A,12.1775,20.85,12.1775,20.85,0.25,1.05,D01
CC,35A,12.4275,20.85,12.4275,20.85,0.25,1.05,D01
CC,34A,12.6775,20.85,12.6775,20.85,0.25,1.05,D01
CC,33A,12.9275,20.85,12.9275,20.85,0.25,1.05,D01
CC,32A,13.1775,20.85,13.1775,20.85,0.25,1.05,D01
CC,31A,13.4275,20.85,13.4275,20.85,0.25,1.05,D01
CC,30A,13.6775,20.85,13.6775,20.85,0.25,1.05,D01
CC,29A,13.9275,20.85,13.9275,20.85,0.25,1.05,D01
CC,28A,14.1775,20.85,14.1775,20.85,0.25,1.05,D01
CC,27A,14.4275,20.85,14.4275,20.85,0.25,1.05,D01
CC,26A,14.6775,20.85,14.6775,20.85,0.25,1.05,D01
CC,25A,14.9275,20.85,14.9275,20.85,0.25,1.05,D01
CC,24A,15.1775,20.85,15.1775,20.85,0.25,1.05,D01
CC,23A,15.4275,20.85,15.4275,20.85,0.25,1.05,D01
CC,22A,15.6775,20.85,15.6775,20.85,0.25,1.05,D01
CC,21A,15.9275,20.85,15.9275,20.85,0.25,1.05,D01
CC,20A,16.1775,20.85,16.1775,20.85,0.25,1.05,D01
CC,19A,16.4275,20.85,16.4275,20.85,0.25,1.05,D01
CC,18A,16.6775,20.85,16.6775,20.85,0.25,1.05,D01
CC,17A,16.9275,20.85,16.9275,20.85,0.25,1.05,D01
CC,16A,17.1775,20.85,17.1775,20.85,0.25,1.05,D01
CC,15A,17.4275,20.85,17.4275,20.85,0.25,1.05,D01
CC,14A,17.6775,20.85,17.6775,20.85,0.25,1.05,D01
CC,13A,17.9275,20.85,17.9275,20.85,0.25,1.05,D01
CC,12A,18.1775,20.85,18.1775,20.85,0.25,1.05,D01
CC,11A,18.4275,20.85,18.4275,20.85,0.25,1.05,D01
CC,10A,18.6775,20.85,18.6775,20.85,0.25,1.05,D01
CC,09A,18.9275,20.85,18.9275,20.85,0.25,1.05,D01
CC,08A,19.1775,20.85,19.1775,20.85,0.25,1.05,D01
CC,07A,19.4275,20.85,19.4275,20.85,0.25,1.05,D01
CC,06A,19.6775,20.85,19.6775,20.85,0.25,1.05,D01
CC,05A,19.9275,20.85,19.9275,20.85,0.25,1.05,D01
CC,04A,20.1775,20.85,20.1775,20.85,0.25,1.05,D01
BC,42A,21.1775,20.85,21.1775,20.85,0.25,1.05,D01
BC,41A,21.4275,20.85,21.4275,20.85,0.25,1.05,D01
BC,40A,21.6775,20.85,21.6775,20.85,0.25,1.05,D01
BC,39A,21.9275,20.85,21.9275,20.85,0.25,1.05,D01
BC,38A,22.1775,20.85,22.1775,20.85,0.25,1.05,D01
BC,37A,22.4275,20.85,22.4275,20.85,0.25,1.05,D01
BC,36A,22.6775,20.85,22.6775,20.85,0.25,1.05,D01
BC,35A,22.9275,20.85,22.9275,20.85,0.25,1.05,D01
BC,34A,23.1775,20.85,23.1775,20.85,0.25,1.05,D01
BC,33A,23.4275,20.85,23.4275,20.85,0.25,1.05,D01
BC,32A,23.6775,20.85,23.6775,20.85,0.25,1.05,D01
BC,31A,23.9275,20.85,23.9275,20.85,0.25,1.05,D01
BC,30A,24.1775,20.85,24.1775,20.85,0.25,1.05,D01
BC,29A,24.4275,20.85,24.4275,20.85,0.25,1.05,D01
BC,28A,24.6775,20.85,24.6775,20.85,0.25,1.05,D01
BC,27A,24.9275,20.85,24.9275,20.85,0.25,1.05,D01
BC,26A,25.1775,20.85,25.1775,20.85,0.25,1.05,D01
BC,25A,25.4275,20.85,25.4275,20.85,0.25,1.05,D01
BC,24A,25.6775,20.85,25.6775,20.85,0.25,1.05,D01
BC,23A,25.9275,20.85,25.9275,20.85,0.25,1.05,D01
BC,22A,26.1775,20.85,26.1775,20.85,0.25,1.05,D01
BC,21A,26.4275,20.85,26.4275,20.85,0.25,1.05,D01
BC,20A,26.6775,20.85,26.6775,20.85,0.25,1.05,D01
BC,19A,26.9275,20.85,26.9275,20.85,0.25,1.05,D01
BC,18A,27.1775,20.85,27.1775,20.85,0.25,1.05,D01
BC,17A,27.4275,20.85,27.4275,20.85,0.25,1.05,D01
BC,16A,27.6775,20.85,27.6775,20.85,0.25,1.05,D01
BC,15A,27.9275,20.85,27.9275,20.85,0.25,1.05,D01
BC,14A,28.1775,20.85,28.1775,20.85,0.25,1.05,D01
BC,13A,28.4275,20.85,28.4275,20.85,0.25,1.05,D01
BC,12A,28.6775,20.85,28.6775,20.85,0.25,1.05,D01
BC,11A,28.9275,20.85,28.9275,20.85,0.25,1.05,D01
BC,10A,29.1775,20.85,29.1775,20.85,0.25,1.05,D01
BC,09A,29.4275,20.85,29.4275,20.85,0.25,1.05,D01
BC,08A,29.6775,20.85,29.6775,20.85,0.25,1.05,D01
BC,07A,29.9275,20.85,29.9275,20.85,0.25,1.05,D01
BC,06A,30.1775,20.85,30.1775,20.85,0.25,1.05,D01
BC,05A,30.4275,20.85,30.4275,20.85,0.25,1.05,D01
BC,04A,30.6775,20.85,30.6775,20.85,0.25,1.05,D01
BC,04B,30.6775,19.8,30.6775,19.8,0.25,1.05,D01
BC,05B,30.4275,19.8,30.4275,19.8,0.25,1.05,D01
BC,06B,30.1775,19.8,30.1775,19.8,0.25,1.05,D01
BC,07B,29.9275,19.8,29.9275,19.8,0.25,1.05,D01
BC,08B,29.6775,19.8,29.6775,19.8,0.25,1.05,D01
BC,09B,29.4275,19.8,29.4275,19.8,0.25,1.05,D01
BC,10B,29.1775,19.8,29.1775,19.8,0.25,1.05,D01
BC,11B,28.9275,19.8,28.9275,19.8,0.25,1.05,D01
BC,12B,28.6775,19.8,28.6775,19.8,0.25,1.05,D01
BC,13B,28.4275,19.8,28.4275,19.8,0.25,1.05,D01
BC,14B,28.1775,19.8,28.1775,19.8,0.25,1.05,D01
BC,15B,27.9275,19.8,27.9275,19.8,0.25,1.05,D01
BC,16B,27.6775,19.8,27.6775,19.8,0.25,1.05,D01
BC,17B,27.4275,19.8,27.4275,19.8,0.25,1.05,D01
BC,18B,27.1775,19.8,27.1775,19.8,0.25,1.05,D01
BC,19B,26.9275,19.8,26.9275,19.8,0.25,1.05,D01
BC,20B,26.6775,19.8,26.6775,19.8,0.25,1.05,D01
BC,21B,26.4275,19.8,26.4275,19.8,0.25,1.05,D01
BC,22B,26.1775,19.8,26.1775,19.8,0.25,1.05,D01
BC,23B,25.9275,19.8,25.9275,19.8,0.25,1.05,D01
BC,24B,25.6775,19.8,25.6775,19.8,0.25,1.05,D01
